"SBD","NV1.N","NV1.TH","NV2.N","NV2.TH","NV3.N","NV3.TH","NV4.N","NV4.TH"
"TLA060954","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC093908","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1"
"SPB050437","KT21","Toan,Ly,Anh,1","KQ1","Toan,Ly,Anh,0","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"CON064747","CN2","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0"
"BKT073474","KT21","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TLA048640","KT31","Toan,Hoa,Anh,1","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA
"KTA063618","KT31","Toan,Hoa,Anh,1","KT51","Toan,Hoa,Anh,0","CN3","Toan,Hoa,Anh,1",NA,NA
"KTA077040","CN1","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"TMA048224","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","QT14","Toan,Ly,Hoa,0","CN2","Toan,Ly,Hoa,1"
"BKT093559","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Sinh,1"
"CON000241","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"SPB024417","KT12","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"TMA072622","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"TMA070007","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA
"TLA053494","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"TLA008120","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"TLA002115","KT22","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0"
"KTA083205","KT51","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"BKT063465","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"TLA014827","KT22","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","QT14","Toan,Ly,Hoa,0"
"CON007563","KQ3","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"ABC020062","KT12","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"ABC092058","KT52","Toan,Hoa,Anh,0","KT12","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"KTA073518","KT21","Toan,Ly,Anh,1","KT41","Toan,Hoa,Anh,0","KT51","Toan,Hoa,Anh,0","KT11","Toan,Ly,Anh,1"
"ABC058172","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC025753","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ3","Toan,Ly,Hoa,0","CN1","Toan,Ly,Hoa,1"
"TMA019536","KT42","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TLA049308","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"KTA078420","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT33","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TMA035017","KT12","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1"
"TLA075233","KT31","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT33","Toan,Ly,Hoa,1"
"ABC064094","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1"
"TMA025165","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1",NA,NA
"TMA097794","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1"
"SPB095974","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC087539","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"TMA089796","KT11","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"TLA048926","KT22","Toan,Ly,Hoa,1","QT13","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"BKT013332","KT22","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KQ3","Toan,Ly,Hoa,0","KT32","Toan,Ly,Hoa,1"
"SPB008017","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1",NA,NA
"ABC084642","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0","KT14","Toan,Ly,Hoa,1"
"TLA095906","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC083242","KQ1","Toan,Van,Anh,0","KT21","Toan,Ly,Anh,1",NA,NA,NA,NA
"SPB027753","KT41","Toan,Hoa,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"TLA037324","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"KTA044283","KT12","Toan,Ly,Hoa,1","KQ1","Toan,Van,Anh,0","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"TMA060253","KT12","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT32","Toan,Hoa,Anh,1","CN1","Toan,Ly,Anh,1"
"ABC004759","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1",NA,NA
"KTA010210","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"CON069676","KQ2","Toan,Van,Anh,0","KT31","Toan,Hoa,Anh,1","KT41","Toan,Hoa,Anh,0",NA,NA
"CON001467","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"CON045459","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"KTA043999","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"TMA062807","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","QT14","Toan,Ly,Hoa,0"
"ABC034990","KQ1","Toan,Van,Anh,0","KT21","Toan,Ly,Anh,1",NA,NA,NA,NA
"BKT099552","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"TLA053698","KQ1","Toan,Ly,Hoa,0","CN1","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"CON067975","KT11","Toan,Ly,Anh,1",NA,NA,NA,NA,NA,NA
"ABC027436","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT14","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1"
"KTA024628","KT31","Toan,Hoa,Sinh,1","CN3","Toan,Hoa,Sinh,1",NA,NA,NA,NA
"TMA030150","CN3","Toan,Hoa,Sinh,1",NA,NA,NA,NA,NA,NA
"SPB093483","KT31","Toan,Hoa,Anh,1","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA
"SPB042860","KQ2","Toan,Van,Anh,0","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA
"BKT008474","CN2","Toan,Ly,Anh,1",NA,NA,NA,NA,NA,NA
"TLA061027","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT14","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"SPB084128","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"SPB023344","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"SPB035837","KQ2","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"TMA041779","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"TMA038856","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"CON046540","KT13","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1",NA,NA
"TMA089513","KT22","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"CON045255","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"ABC082118","CN3","Toan,Hoa,Anh,1","KT11","Toan,Ly,Anh,1","KT32","Toan,Hoa,Anh,1","KT12","Toan,Ly,Anh,1"
"CON049506","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"ABC004489","CN3","Toan,Hoa,Anh,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"KTA068964","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1",NA,NA,NA,NA
"TMA068539","KT13","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"SPB074705","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"TLA058769","KT12","Toan,Ly,Hoa,1","QT11","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1",NA,NA
"KTA091698","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TMA041592","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"KTA017358","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"SPB025574","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"BKT073482","KT31","Toan,Hoa,Sinh,1",NA,NA,NA,NA,NA,NA
"TMA058889","QT11","Toan,Hoa,Anh,0","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA
"TMA012598","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1",NA,NA
"CON071657","QT11","Toan,Ly,Hoa,0","KT31","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT52","Toan,Ly,Hoa,0"
"ABC064729","KT22","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"KTA065763","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1",NA,NA
"TLA031353","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"TMA002847","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT14","Toan,Ly,Anh,1",NA,NA
"TMA066564","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"CON006113","KT42","Toan,Ly,Hoa,0","KT11","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1"
"TLA011206","KT11","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"TLA007629","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"ABC022744","KT22","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"ABC020076","CN2","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"KTA097309","KT14","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"BKT089270","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1"
"CON032225","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"TMA096183","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"TMA042792","KT12","Toan,Ly,Anh,1","KQ2","Toan,Ly,Anh,0","KT21","Toan,Ly,Anh,1",NA,NA
"TMA017706","CN3","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"BKT074031","CN2","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA,NA,NA
"SPB011766","KT31","Toan,Hoa,Anh,1","KT52","Toan,Hoa,Anh,0",NA,NA,NA,NA
"KTA098171","CN1","Toan,Ly,Hoa,1","KQ3","Toan,Ly,Hoa,0","KT33","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"TMA015491","KT12","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1"
"KTA045566","QT31","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"SPB091844","CN3","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"TMA094524","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1"
"TMA076314","KT13","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1",NA,NA
"KTA018488","KT21","Toan,Ly,Hoa,1","QT13","Toan,Ly,Hoa,0","KT12","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1"
"KTA043590","KT33","Toan,Ly,Hoa,1","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"TLA041922","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"CON026765","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1",NA,NA
"BKT089376","KT11","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA,NA,NA
"TLA015622","KQ1","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"TMA013194","KQ1","Toan,Ly,Hoa,0","KT12","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Anh,1","KT21","Toan,Ly,Hoa,1"
"ABC099982","KT22","Toan,Ly,Hoa,1","QT12","Toan,Ly,Hoa,0","TA1","Anh,Toan,Van,1","CN2","Toan,Ly,Hoa,1"
"KTA029085","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"KTA090211","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"KTA013941","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT31","Toan,Hoa,Anh,1","CN2","Toan,Ly,Hoa,1"
"ABC006984","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","KQ1","Toan,Ly,Hoa,0"
"ABC034204","KT21","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0"
"SPB066081","CN3","Toan,Hoa,Sinh,1","KT31","Toan,Hoa,Sinh,1",NA,NA,NA,NA
"TMA047152","KQ3","Toan,Van,Anh,0",NA,NA,NA,NA,NA,NA
"ABC044287","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT14","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1"
"ABC042824","KT31","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"KTA099569","KT22","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON001000","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"CON050538","KT22","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"KTA044971","KQ1","Toan,Ly,Anh,0","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"SPB037400","KT22","Toan,Ly,Hoa,1","KT41","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1"
"SPB074252","KT12","Toan,Ly,Hoa,1","CN3","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0"
"SPB024704","KT31","Toan,Hoa,Anh,1","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA
"KTA004418","KT12","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1"
"BKT048591","KT12","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1"
"CON030629","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"ABC051147","KT31","Toan,Hoa,Sinh,1",NA,NA,NA,NA,NA,NA
"SPB075060","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KQ2","Toan,Ly,Hoa,0","CN2","Toan,Ly,Hoa,1"
"ABC075407","KT31","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT32","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1"
"ABC044867","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1"
"TLA038222","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1","KQ1","Toan,Ly,Anh,0"
"SPB018409","QT12","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"KTA061199","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"CON019079","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1",NA,NA
"KTA076916","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"ABC044233","KQ3","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1"
"SPB027117","CN1","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA
"BKT004938","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","CN3","Toan,Hoa,Sinh,1"
"TMA040005","KT14","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"KTA093834","KT11","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA,NA,NA
"BKT037619","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"ABC039411","KT33","Toan,Hoa,Anh,1",NA,NA,NA,NA,NA,NA
"TMA097508","KQ1","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON009308","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1"
"SPB027048","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","TA2","Anh,Toan,Van,1"
"TMA060509","KT22","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT51","Toan,Ly,Hoa,0"
"TLA047752","TA2","Anh,Toan,Van,1","KT11","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"CON041058","KT21","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1"
"ABC051813","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT31","Toan,Hoa,Anh,1","KT12","Toan,Ly,Anh,1"
"KTA047987","KT22","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"CON068992","KT13","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"KTA000379","KT21","Toan,Ly,Hoa,1","KT23","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1",NA,NA
"ABC042171","KT51","Toan,Hoa,Anh,0","KT42","Toan,Hoa,Anh,0",NA,NA,NA,NA
"TMA052667","CN2","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1"
"TLA058628","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"KTA019551","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"BKT041026","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KQ1","Toan,Ly,Anh,0",NA,NA
"BKT006139","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","KT13","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1"
"BKT099203","KT41","Toan,Hoa,Anh,0",NA,NA,NA,NA,NA,NA
"KTA003194","KT22","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT31","Toan,Ly,Hoa,1","KT11","Toan,Ly,Anh,1"
"TMA062170","KT11","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT31","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1"
"CON071721","KT32","Toan,Hoa,Anh,1","KT51","Toan,Hoa,Anh,0",NA,NA,NA,NA
"SPB098464","CN2","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"SPB062743","KT22","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1",NA,NA
"TLA095701","KT21","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1",NA,NA
"SPB068892","KT22","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1"
"CON023391","KT31","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","CN1","Toan,Ly,Hoa,1"
"TMA070811","CN2","Toan,Ly,Anh,1","KT23","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1",NA,NA
"TLA097479","CN1","Toan,Ly,Anh,1","TA1","Anh,Toan,Van,1","KT12","Toan,Ly,Anh,1",NA,NA
"TMA021008","KT21","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT11","Toan,Ly,Hoa,1"
"CON013176","KT33","Toan,Hoa,Anh,1","CN3","Toan,Hoa,Anh,1",NA,NA,NA,NA
"CON056430","KT11","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"CON051508","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1"
"ABC052939","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT52","Toan,Ly,Hoa,0","KT21","Toan,Ly,Hoa,1"
"BKT074719","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1","CN1","Toan,Ly,Anh,1","TA1","Anh,Toan,Van,1"
"ABC037945","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1","KT11","Toan,Ly,Anh,1"
"KTA076957","KT21","Toan,Ly,Anh,1","CN2","Toan,Ly,Anh,1","KT12","Toan,Ly,Anh,1",NA,NA
"BKT039476","CN2","Toan,Ly,Anh,1","TA2","Anh,Toan,Van,1","CN1","Toan,Ly,Anh,1",NA,NA
"TLA069816","TA1","Anh,Toan,Van,1",NA,NA,NA,NA,NA,NA
"SPB032986","CN1","Toan,Ly,Anh,1","KT21","Toan,Ly,Anh,1","KT22","Toan,Ly,Anh,1",NA,NA
"ABC037627","KT12","Toan,Ly,Hoa,1","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1"
"SPB038974","KT22","Toan,Ly,Hoa,1","CN2","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","TA2","Anh,Toan,Van,1"
"KTA022551","KT21","Toan,Ly,Hoa,1","CN3","Toan,Hoa,Sinh,1","KT31","Toan,Hoa,Sinh,1","KT22","Toan,Ly,Hoa,1"
"KTA047366","KT22","Toan,Ly,Hoa,1","KT12","Toan,Ly,Hoa,1","KT21","Toan,Ly,Hoa,1","KQ1","Toan,Ly,Hoa,0"
"TMA089136","KQ3","Toan,Ly,Hoa,0","KT22","Toan,Ly,Hoa,1","KT13","Toan,Ly,Hoa,1","KT14","Toan,Ly,Hoa,1"
